,tsne1,tsne2,tsne3,class_encode,class,cluster
204,-4.4085464,-17.599676,-1.5864311,5,Kitchen & Dining,3
205,32.046856,0.49209282,-0.73166436,3,Home Decor & Festive Needs,6
206,-4.102705,-25.498884,-9.5101595,3,Home Decor & Festive Needs,3
207,32.61439,-2.648461,-5.690549,3,Home Decor & Festive Needs,6
208,26.348167,5.5713143,4.2065263,3,Home Decor & Festive Needs,6
209,6.660944,-3.15909,-1.7833438,3,Home Decor & Festive Needs,3
210,32.36516,-11.614744,-5.719027,3,Home Decor & Festive Needs,6
211,12.029252,2.2335763,10.456232,3,Home Decor & Festive Needs,6
212,-5.052217,-23.49472,-10.096672,3,Home Decor & Festive Needs,3
213,18.79675,-7.9741826,-8.403979,3,Home Decor & Festive Needs,6
214,32.642967,-1.3158379,1.6745528,3,Home Decor & Festive Needs,6
215,-10.991308,-16.557865,-4.3490524,5,Kitchen & Dining,3
216,-4.632267,-15.227267,-3.2719433,5,Kitchen & Dining,3
217,10.239763,-2.3438768,4.0035186,3,Home Decor & Festive Needs,6
218,-4.6441774,-14.5898695,1.0163049,5,Kitchen & Dining,3
219,6.8316045,1.6063381,-6.2485023,3,Home Decor & Festive Needs,2
220,-2.093675,-3.7354627,-16.17731,0,Baby Care,2
221,18.004389,-3.6972444,-7.006965,3,Home Decor & Festive Needs,6
222,12.144707,-2.5259595,10.134655,3,Home Decor & Festive Needs,5
223,-7.358334,-16.232367,-4.0938473,5,Kitchen & Dining,3
224,32.0632,-9.475989,-5.543945,3,Home Decor & Festive Needs,6
225,-9.315996,-22.83917,-8.837737,3,Home Decor & Festive Needs,3
226,7.5427413,0.8107492,0.38170117,3,Home Decor & Festive Needs,6
227,25.448248,-5.4893394,-10.172113,3,Home Decor & Festive Needs,6
228,30.255793,-7.0014496,0.7677524,3,Home Decor & Festive Needs,6
229,12.5108385,-2.2791495,6.872561,3,Home Decor & Festive Needs,6
230,21.720778,-2.0009062,5.9257545,3,Home Decor & Festive Needs,6
231,-9.757897,-26.153473,-9.835792,3,Home Decor & Festive Needs,3
232,20.061525,-13.589118,-0.07015588,3,Home Decor & Festive Needs,3
233,25.820498,-8.257332,2.7959585,3,Home Decor & Festive Needs,6
234,6.119825,-14.86,0.8895789,5,Kitchen & Dining,3
235,-7.5026565,-13.292503,-1.773471,5,Kitchen & Dining,3
236,18.365213,-4.2704563,6.936286,3,Home Decor & Festive Needs,6
237,32.201714,-8.1342,-0.7611008,3,Home Decor & Festive Needs,6
238,4.11307,-17.932646,-5.136238,5,Kitchen & Dining,3
239,28.340778,-2.9175467,-9.04417,3,Home Decor & Festive Needs,6
240,4.0659447,-11.440672,-8.287751,5,Kitchen & Dining,3
241,7.224408,-16.19435,-2.5065055,5,Kitchen & Dining,3
242,3.3747225,-16.76822,-13.347003,5,Kitchen & Dining,3
243,3.268853,-15.002092,-6.7744923,5,Kitchen & Dining,3
244,0.91629773,-16.58567,-0.2073874,5,Kitchen & Dining,3
245,8.455511,-20.487486,-12.890367,5,Kitchen & Dining,3
246,0.43179578,-16.824677,-6.6924124,5,Kitchen & Dining,3
247,5.119788,-20.238895,-0.8038264,5,Kitchen & Dining,3
248,10.400159,-9.447614,2.6010747,3,Home Decor & Festive Needs,3
249,3.1504478,-16.484125,-2.7262177,5,Kitchen & Dining,3
250,7.1670766,-2.6908321,2.3604755,3,Home Decor & Festive Needs,3
251,8.138677,-18.472792,-13.961914,5,Kitchen & Dining,3
252,7.049059,-17.933718,-6.0296564,5,Kitchen & Dining,3
253,1.9193918,-20.716478,-4.479505,5,Kitchen & Dining,3
254,27.403004,-1.2850035,2.8214395,3,Home Decor & Festive Needs,6
255,3.317783,-13.536466,-3.5386775,5,Kitchen & Dining,3
256,4.5872264,1.2425067,1.4097863,3,Home Decor & Festive Needs,0
257,14.497863,-10.330502,-1.1622689,3,Home Decor & Festive Needs,3
258,6.3600073,-8.12253,-0.64067507,3,Home Decor & Festive Needs,3
259,6.6776366,-12.130098,-5.429404,5,Kitchen & Dining,3
260,29.001717,-2.987418,-1.6661297,3,Home Decor & Festive Needs,6
261,2.0057561,-20.418835,-8.961439,5,Kitchen & Dining,3
262,31.61038,-0.16631983,-3.486134,3,Home Decor & Festive Needs,6
263,12.186049,-4.9790764,1.1171176,3,Home Decor & Festive Needs,6
264,17.104738,2.591872,-11.126674,3,Home Decor & Festive Needs,6
