,tsne1,tsne2,tsne3,class_encode,class,cluster
1003,2.1605308,-11.18527,-9.784802,5,Kitchen & Dining,6
1004,2.3765693,-9.363604,-8.158247,0,Baby Care,6
1005,3.2315354,-0.2821425,-5.127771,1,Beauty and Personal Care,0
1006,2.8845718,-0.09365525,-5.654934,1,Beauty and Personal Care,0
1007,6.247058,2.8092823,-4.584595,1,Beauty and Personal Care,0
1008,1.933778,-7.9930406,-2.70163,5,Kitchen & Dining,1
1009,10.002978,-6.934416,-6.249102,3,Home Decor & Festive Needs,1
1010,21.593798,-1.1016684,0.9901441,0,Baby Care,4
1011,3.708372,-0.7765686,-2.88046,0,Baby Care,1
1012,4.844035,-8.391935,-1.2571716,3,Home Decor & Festive Needs,1
1013,4.591448,2.4193761,-7.27235,1,Beauty and Personal Care,0
1014,22.631433,-1.0459956,0.37072012,0,Baby Care,4
1015,1.4480969,-14.4814205,8.529985,2,Computers,1
1016,4.554938,0.03213223,-5.73234,1,Beauty and Personal Care,0
1017,6.0934606,-4.9085765,8.066063,4,Home Furnishing,1
1018,1.5929002,-14.227841,9.452763,2,Computers,1
1019,1.6117948,-13.36502,8.957443,2,Computers,1
1020,5.813941,-3.341963,7.601373,4,Home Furnishing,1
1021,2.7215824,-13.281469,8.87071,2,Computers,1
1022,5.0765085,-3.7946076,7.6185393,4,Home Furnishing,1
1023,-0.6436737,-3.8835516,-0.011441781,2,Computers,1
1024,2.7237155,-15.252025,8.403888,2,Computers,1
1025,2.434298,-13.729269,9.704554,2,Computers,1
1026,6.360272,-4.065348,8.247827,4,Home Furnishing,1
1027,5.2510824,-4.558202,8.36538,4,Home Furnishing,1
1028,3.0289648,-14.039275,8.300047,2,Computers,1
1029,5.4095306,-4.62597,7.3986635,4,Home Furnishing,1
1030,2.2401145,-0.3543063,-4.3017254,1,Beauty and Personal Care,0
1031,6.261212,0.42866096,-5.305592,1,Beauty and Personal Care,0
1032,2.0488675,-13.474067,8.08624,2,Computers,1
1033,6.020906,-4.123449,7.1622577,4,Home Furnishing,1
1034,2.1563344,-14.409894,8.012336,2,Computers,1
1035,3.0588071,-14.335367,9.238769,2,Computers,1
1036,2.2096786,-14.864857,9.277069,2,Computers,1
1037,5.617155,-3.918109,8.5917425,4,Home Furnishing,1
1038,2.9831798,-5.296102,-1.292024,1,Beauty and Personal Care,1
1039,-0.08096446,-11.68848,1.722644,3,Home Decor & Festive Needs,1
1040,-4.9453483,3.0564482,-4.457462,0,Baby Care,0
1041,-5.260003,4.5064964,-5.6245,0,Baby Care,0
1042,-5.4418745,3.2442179,-5.672016,0,Baby Care,0
1043,-4.627406,2.6705832,-5.318016,0,Baby Care,0
1044,-5.624387,4.4495945,-5.2658896,0,Baby Care,0
1045,-5.0203414,1.5345567,-5.033923,0,Baby Care,0
1046,-6.3313723,5.3364325,-6.146544,0,Baby Care,0
1047,-4.2898817,3.2779334,-5.1687207,0,Baby Care,0
1048,-5.9525676,4.4275756,-5.8570957,0,Baby Care,0
1049,-4.57822,3.1804304,-5.652618,0,Baby Care,0
